"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-06-18","0.48","0.0","0.0",,"82","65","  594"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-06-19","0.17","0.0","0.0",,"83","65","  318"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-06-20","0.00","0.0","0.0",,"80","62","  466"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-06-21","0.01","0.0","0.0",,"77","65","  249"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-06-22","0.01","0.0","0.0",,"89","67","  651"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-06-23","0.04","0.0","0.0",,"83","70","  404"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-06-24","0.00","0.0","0.0",,"80","68","  639"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-06-25","0.00","0.0","0.0",,"80","64","  557"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-06-26","0.00","0.0","0.0",,"84","63","  655"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-06-27","0.00","0.0","0.0",,"88","69","  542"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-06-28","0.00","0.0","0.0",,"89","70","  630"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-06-29","0.13","0.0","0.0",,"86","70","  534"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-06-30","0.74","0.0","0.0",,"88","69","  688"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-07-01","0.50","0.0","0.0",,"84","64","  280"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-07-02","0.00","0.0","0.0",,"76","65","  243"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-07-03","0.00","0.0","0.0",,"87","64","  711"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-07-04","0.00","0.0","0.0",,"93","71","  856"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-07-05","0.00","0.0","0.0",,"95","76","  420"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-07-06","0.00","0.0","0.0",,"82","68","  617"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-07-07","0.00","0.0","0.0",,"83","63","  786"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-07-08","0.00","0.0","0.0",,"80","65","  477"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-07-09","0.11","0.0","0.0",,"93","72","  298"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-07-10","0.00","0.0","0.0",,"87","73","  318"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-07-11","0.07","0.0","0.0",,"76","63","   33"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-07-12","0.56","0.0","0.0",,"67","58","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-07-13","0.33","0.0","0.0",,"70","57","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-07-14","0.00","0.0","0.0",,"74","64","   64"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-07-15","0.41","0.0","0.0",,"84","68","  406"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-07-16","0.00","0.0","0.0",,"86","76","  719"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-07-17","0.00","0.0","0.0",,"89","74","  781"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-07-18","0.00","0.0","0.0",,"92","72","  757"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-07-19","0.00","0.0","0.0",,"94","74","  693"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-07-20","0.00","0.0","0.0",,"91","74","  732"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-07-21","1.13","0.0","0.0",,"88","71","  165"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-07-22","0.00","0.0","0.0",,"85","71","  198"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-07-23","0.26","0.0","0.0",,"87","71","  191"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-07-24","0.00","0.0","0.0",,"83","69","  206"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-07-25","0.00","0.0","0.0",,"89","70","  815"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-07-26","0.00","0.0","0.0",,"88","72","  431"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-07-27","0.00","0.0","0.0",,"82","70","  210"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-07-28","0.00","0.0","0.0",,"82","71","  205"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-07-29","0.00","0.0","0.0",,"86","71","  367"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-07-30","0.00","0.0","0.0",,"84","68","  320"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-07-31","0.14","0.0","0.0",,"89","68","  477"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-08-01","0.00","0.0","0.0",,"85","64","  832"
